Date,Country,Lignite_GWh,Hard_Coal_GWh,Gas_GWh,Total_Fossil_GWh
2022-12-31,Romania,0.87325,0.0,1.50875,2.382
2023-01-01,Austria,0.0,0.0,0.839,0.839
2023-01-01,Belgium,0.0,0.0,20.6976,20.6976
2023-01-01,Czech Republic,46.5689,7.651899999999999,7.8803,62.1011
2023-01-01,France,0.0,1.173,60.263,61.436
2023-01-01,Germany,97.6055,44.03535,41.91575,183.5566
2023-01-01,Italy,0.0,67.631,181.984,249.615
2023-01-01,Netherlands,0.0,30.171175,30.933925,61.10509999999999
2023-01-01,Poland,44.3075,126.7409,18.1914,189.2398
2023-01-01,Romania,20.6834,0.0,32.691925,53.375325
2023-01-01,Spain,0.0,10.901,63.376,74.277
2023-01-01,Sweden,0.0,0.0,0.0024,0.0024
2023-01-02,Austria,0.0,0.0,12.9867,12.9867
2023-01-02,Belgium,0.0,0.0,31.0738,31.0738
2023-01-02,Czech Republic,74.545,4.713,8.1004,87.35839999999999
2023-01-02,France,0.0,1.122,75.239,76.361
2023-01-02,Germany,256.09755,67.80567500000001,62.91275,386.815975
2023-01-02,Italy,0.0,71.901,269.896,341.797
2023-01-02,Netherlands,0.0,47.056,47.873050000000006,94.92905
2023-01-02,Poland,82.3986,161.047,27.6418,271.0874
2023-01-02,Romania,21.6785,0.0,37.74825,59.42675
2023-01-02,Spain,0.0,12.713,149.871,162.584
2023-01-02,Sweden,0.0,0.0,0.0028,0.0028
2023-01-03,Austria,0.0,0.0,19.4168,19.4168
2023-01-03,Belgium,0.0,0.0,36.2404,36.2404
2023-01-03,Czech Republic,94.2075,6.6536,8.199200000000001,109.0603
2023-01-03,France,0.0,0.948,117.425,118.373
2023-01-03,Germany,315.8457,140.735,91.142525,547.7232250000001
2023-01-03,Italy,0.0,69.78,253.095,322.875
2023-01-03,Netherlands,0.0,65.992,50.135575,116.127575
2023-01-03,Poland,113.7805,174.0549,35.6186,323.454
2023-01-03,Romania,22.403,0.0,36.23775,58.64075
2023-01-03,Spain,0.0,14.608,169.687,184.295
2023-01-03,Sweden,0.0,0.0,0.0029,0.0029
2023-01-04,Austria,0.0,0.0,27.5862,27.5862
2023-01-04,Belgium,0.0,0.0,24.6766,24.6766
